年月	規模別	企業規模貸款總家數	企業規模貸款總金額[仟元]	企業規模貸款平均金額[仟元]
201611	0.上市	1292	3791935404	2934934.52
201611	1.大型	10771	5903202558	548064.48
201611	2.中型	24944	3396672459	136171.92
201611	3.小型	98523	689254969	6995.88
201612	0.上市	1271	3765262780	2962441.21
201612	1.大型	10888	5993716321	550488.27
201612	2.中型	25056	3411178112	136142.17
201612	3.小型	99083	698003380	7044.63
201701	0.上市	1279	3726299610	2913447.7
201701	1.大型	10838	5981042837	551858.54
201701	2.中型	24979	3507423728	140414.9
201701	3.小型	98666	691500704	7008.5
201702	0.上市	1288	3727227015	2893809.79
201702	1.大型	10856	5979151091	550769.26
201702	2.中型	24967	3534500445	141566.89
201702	3.小型	98708	690433082	6994.7
201703	0.上市	1280	3705822937	2895174.17
201703	1.大型	10892	5953057471	546553.2
201703	2.中型	25080	3574189375	142511.54
201703	3.小型	99023	693923671	7007.7
201704	0.上市	1277	3713670032	2908120.62
201704	1.大型	10906	5958114598	546315.29
201704	2.中型	25127	3594522499	143054.18
201704	3.小型	99079	695158273	7016.2
201705	0.上市	1284	3694013669	2876957.69
201705	1.大型	10956	6036400906	550967.59
201705	2.中型	25241	3527719942	139761.5
201705	3.小型	99366	699716440	7041.81
201706	0.上市	1275	3706477037	2907040.81
201706	1.大型	10956	6039857361	551283.07
201706	2.中型	25309	3447633859	136221.65
201706	3.小型	99588	704377045	7072.91
201707	0.上市	1287	3723636636	2893268.56
201707	1.大型	10999	6043413561	549451.18
201707	2.中型	25364	3486266005	137449.38
201707	3.小型	99565	702666932	7057.37
201708	0.上市	1292	3944441225	3052973.08
201708	1.大型	11036	6074653887	550439.82
201708	2.中型	25441	3489365241	137155.19
201708	3.小型	99635	702876980	7054.52
201709	0.上市	1298	4023262628	3099586
201709	1.大型	11038	6056184890	548666.87
201709	2.中型	25588	3525294335	137771.39
201709	3.小型	99881	705045601	7058.86
201710	0.上市	1293	3971603874	3071619.39
201710	1.大型	11051	6074755263	549701.86
201710	2.中型	25622	3519507729	137362.72
201710	3.小型	99835	704806912	7059.72
201711	0.上市	1295	3999205970	3088189.94
201711	1.大型	11101	6112291107	550607.25
201711	2.中型	25754	3487701803	135423.69
201711	3.小型	100015	708032328	7079.26
201712	0.上市	1293	3933035411	3041790.73
201712	1.大型	11210	6111603619	545192.12
201712	2.中型	25936	3510206136	135341.08
201712	3.小型	100338	714184540	7117.79
201801	0.上市	1291	3846718985	2979642.9
201801	1.大型	11184	6103228703	545710.72
201801	2.中型	25868	3580292535	138406.24
201801	3.小型	99856	708403114	7094.25
201802	0.上市	1295	3832612958	2959546.69
201802	1.大型	11238	6139720713	546335.71
201802	2.中型	25895	3669633212	141712.04
201802	3.小型	99822	710279510	7115.46
201803	0.上市	1289	3899600689	3025291.46
201803	1.大型	11282	6137601827	544017.18
201803	2.中型	26072	3752467752	143927.12
201803	3.小型	99919	711327936	7119.05
201804	0.上市	1292	3758977834	2909425.57
201804	1.大型	11297	6242893408	552615.16
201804	2.中型	26150	3733166019	142759.69
201804	3.小型	99897	712131000	7128.65
201805	0.上市	1290	3926490402	3043791.01
201805	1.大型	11332	6321387587	557835.12
201805	2.中型	26229	3663426578	139670.84
201805	3.小型	100068	715925621	7154.39
201806	0.上市	1282	3982452822	3106437.46
201806	1.大型	11368	6415936546	564385.69
201806	2.中型	26354	3579818763	135835.88
201806	3.小型	100198	718327698	7169.08
201807	0.上市	1289	3900964257	3026349.31
201807	1.大型	11364	6384983438	561860.56
201807	2.中型	26374	3544040311	134376.29
201807	3.小型	100151	717026398	7159.45
201808	0.上市	1304	4150173290	3182648.23
201808	1.大型	11388	6360204461	558500.57
201808	2.中型	26437	3531308594	133574.48
201808	3.小型	100219	717698450	7161.3
201809	0.上市	1300	4221332727	3247179.02
201809	1.大型	11424	6396232158	559894.27
201809	2.中型	26550	3567603249	134373
201809	3.小型	100333	718812238	7164.27
201810	0.上市	1303	4078922438	3130408.62
201810	1.大型	11467	6434598028	561140.49
201810	2.中型	26681	3605122832	135119.48
201810	3.小型	100401	718819497	7159.49
201811	0.上市	1299	4255647053	3276094.73
201811	1.大型	11521	6447900005	559664.96
201811	2.中型	26762	3607094867	134784.2
201811	3.小型	100614	721535167	7171.32
201812	0.上市	1290	4145815871	3213810.75
201812	1.大型	11594	6477981073	558735.65
201812	2.中型	26907	3650349634	135665.43
201812	3.小型	101069	728082478	7203.82
201901	0.上市	1305	4140876075	3173085.11
201901	1.大型	11553	6492339981	561961.39
201901	2.中型	26965	3841097394	142447.52
201901	3.小型	100752	723815447	7184.13
