"資料年月","產業別","企業授信金額產業別佔比"
201610,"11投資業","0%"
201610,"12金融保險業","6%"
201610,"13其他","0%"
201611,"01民生必需品製造業","5%"
201611,"02金屬製造業","6%"
201611,"03非金屬製造業","13%"
201611,"04紙印刷業","1%"
201611,"05器械業","7%"
201611,"06批發業","12%"
201611,"07零售業","3%"
201611,"08電子製造業","11%"
201611,"09服務業","15%"
201611,"10營建業","20%"
201611,"11投資業","0%"
201611,"12金融保險業","6%"
201611,"13其他","0%"
201612,"01民生必需品製造業","5%"
201612,"02金屬製造業","6%"
201612,"03非金屬製造業","13%"
201612,"04紙印刷業","1%"
201612,"05器械業","7%"
201612,"06批發業","12%"
201612,"07零售業","3%"
201612,"08電子製造業","12%"
201612,"09服務業","15%"
201612,"10營建業","20%"
201612,"11投資業","0%"
201612,"12金融保險業","6%"
201612,"13其他","0%"
201701,"01民生必需品製造業","5%"
201701,"02金屬製造業","6%"
201701,"03非金屬製造業","12%"
201701,"04紙印刷業","1%"
201701,"05器械業","7%"
201701,"06批發業","12%"
201701,"07零售業","3%"
201701,"08電子製造業","12%"
201701,"09服務業","15%"
201701,"10營建業","20%"
201701,"11投資業","0%"
201701,"12金融保險業","6%"
201701,"13其他","0%"
201702,"01民生必需品製造業","5%"
201702,"02金屬製造業","6%"
201702,"03非金屬製造業","12%"
201702,"04紙印刷業","1%"
201702,"05器械業","7%"
201702,"06批發業","12%"
201702,"07零售業","3%"
201702,"08電子製造業","12%"
201702,"09服務業","15%"
201702,"10營建業","20%"
201702,"11投資業","0%"
201702,"12金融保險業","6%"
201702,"13其他","0%"
201703,"01民生必需品製造業","5%"
201703,"02金屬製造業","6%"
201703,"03非金屬製造業","13%"
201703,"04紙印刷業","1%"
201703,"05器械業","7%"
201703,"06批發業","12%"
201703,"07零售業","3%"
201703,"08電子製造業","12%"
201703,"09服務業","14%"
201703,"10營建業","20%"
201703,"11投資業","0%"
201703,"12金融保險業","7%"
201703,"13其他","0%"
201704,"01民生必需品製造業","5%"
201704,"02金屬製造業","6%"
201704,"03非金屬製造業","12%"
201704,"04紙印刷業","1%"
201704,"05器械業","7%"
201704,"06批發業","12%"
201704,"07零售業","3%"
201704,"08電子製造業","12%"
201704,"09服務業","14%"
201704,"10營建業","20%"
201704,"11投資業","0%"
201704,"12金融保險業","7%"
201704,"13其他","0%"
201705,"01民生必需品製造業","5%"
201705,"02金屬製造業","6%"
201705,"03非金屬製造業","12%"
201705,"04紙印刷業","1%"
201705,"05器械業","8%"
201705,"06批發業","12%"
201705,"07零售業","3%"
201705,"08電子製造業","12%"
201705,"09服務業","14%"
201705,"10營建業","20%"
201705,"11投資業","1%"
201705,"12金融保險業","6%"
201705,"13其他","0%"
201706,"01民生必需品製造業","6%"
201706,"02金屬製造業","7%"
201706,"03非金屬製造業","12%"
201706,"04紙印刷業","1%"
201706,"05器械業","7%"
201706,"06批發業","12%"
201706,"07零售業","3%"
201706,"08電子製造業","12%"
201706,"09服務業","14%"
201706,"10營建業","20%"
201706,"11投資業","1%"
201706,"12金融保險業","6%"
201706,"13其他","0%"
201707,"01民生必需品製造業","5%"
201707,"02金屬製造業","6%"
201707,"03非金屬製造業","12%"
201707,"04紙印刷業","1%"
201707,"05器械業","8%"
201707,"06批發業","12%"
201707,"07零售業","3%"
201707,"08電子製造業","12%"
201707,"09服務業","14%"
201707,"10營建業","20%"
201707,"11投資業","1%"
201707,"12金融保險業","6%"
201707,"13其他","0%"
201708,"01民生必需品製造業","5%"
201708,"02金屬製造業","6%"
201708,"03非金屬製造業","12%"
201708,"04紙印刷業","1%"
201708,"05器械業","8%"
201708,"06批發業","12%"
201708,"07零售業","3%"
201708,"08電子製造業","12%"
201708,"09服務業","14%"
201708,"10營建業","20%"
201708,"11投資業","1%"
201708,"12金融保險業","6%"
201708,"13其他","0%"
201709,"01民生必需品製造業","6%"
201709,"02金屬製造業","6%"
201709,"03非金屬製造業","12%"
201709,"04紙印刷業","1%"
201709,"05器械業","8%"
201709,"06批發業","12%"
201709,"07零售業","3%"
201709,"08電子製造業","12%"
201709,"09服務業","13%"
201709,"10營建業","21%"
201709,"11投資業","1%"
201709,"12金融保險業","6%"
201709,"13其他","0%"
201710,"01民生必需品製造業","6%"
201710,"02金屬製造業","6%"
201710,"03非金屬製造業","12%"
201710,"04紙印刷業","1%"
201710,"05器械業","8%"
201710,"06批發業","12%"
201710,"07零售業","3%"
201710,"08電子製造業","12%"
201710,"09服務業","14%"
201710,"10營建業","21%"
201710,"11投資業","1%"
201710,"12金融保險業","6%"
201710,"13其他","0%"
201711,"01民生必需品製造業","5%"
201711,"02金屬製造業","7%"
201711,"03非金屬製造業","12%"
201711,"04紙印刷業","1%"
201711,"05器械業","8%"
201711,"06批發業","12%"
201711,"07零售業","3%"
201711,"08電子製造業","12%"
201711,"09服務業","13%"
201711,"10營建業","21%"
201711,"11投資業","1%"
201711,"12金融保險業","6%"
201711,"13其他","0%"
201712,"01民生必需品製造業","6%"
201712,"02金屬製造業","7%"
201712,"03非金屬製造業","12%"
201712,"04紙印刷業","1%"
201712,"05器械業","8%"
201712,"06批發業","12%"
201712,"07零售業","3%"
201712,"08電子製造業","11%"
201712,"09服務業","14%"
201712,"10營建業","21%"
201712,"11投資業","1%"
201712,"12金融保險業","6%"
201712,"13其他","0%"
201801,"01民生必需品製造業","6%"
201801,"02金屬製造業","7%"
201801,"03非金屬製造業","12%"
201801,"04紙印刷業","1%"
201801,"05器械業","8%"
201801,"06批發業","12%"
201801,"07零售業","3%"
201801,"08電子製造業","11%"
201801,"09服務業","14%"
201801,"10營建業","21%"
201801,"11投資業","1%"
201801,"12金融保險業","7%"
201801,"13其他","0%"
201802,"01民生必需品製造業","6%"
201802,"02金屬製造業","7%"
201802,"03非金屬製造業","12%"
201802,"04紙印刷業","1%"
201802,"05器械業","8%"
201802,"06批發業","12%"
201802,"07零售業","3%"
201802,"08電子製造業","11%"
201802,"09服務業","14%"
201802,"10營建業","21%"
201802,"11投資業","1%"
201802,"12金融保險業","7%"
201802,"13其他","0%"
201803,"01民生必需品製造業","6%"
201803,"02金屬製造業","7%"
201803,"03非金屬製造業","12%"
201803,"04紙印刷業","1%"
201803,"05器械業","8%"
201803,"06批發業","12%"
201803,"07零售業","3%"
201803,"08電子製造業","11%"
201803,"09服務業","14%"
201803,"10營建業","21%"
201803,"11投資業","1%"
201803,"12金融保險業","7%"
201803,"13其他","0%"
201804,"01民生必需品製造業","6%"
201804,"02金屬製造業","7%"
201804,"03非金屬製造業","12%"
201804,"04紙印刷業","1%"
201804,"05器械業","8%"
201804,"06批發業","12%"
201804,"07零售業","3%"
201804,"08電子製造業","11%"
201804,"09服務業","14%"
201804,"10營建業","21%"
201804,"11投資業","1%"
201804,"12金融保險業","7%"
201804,"13其他","0%"
201805,"01民生必需品製造業","6%"
201805,"02金屬製造業","6%"
201805,"03非金屬製造業","12%"
201805,"04紙印刷業","1%"
201805,"05器械業","8%"
201805,"06批發業","12%"
201805,"07零售業","3%"
201805,"08電子製造業","11%"
201805,"09服務業","13%"
201805,"10營建業","21%"
201805,"11投資業","1%"
201805,"12金融保險業","7%"
201805,"13其他","0%"
201806,"01民生必需品製造業","6%"
201806,"02金屬製造業","7%"
201806,"03非金屬製造業","12%"
201806,"04紙印刷業","1%"
201806,"05器械業","8%"
201806,"06批發業","12%"
201806,"07零售業","3%"
201806,"08電子製造業","11%"
201806,"09服務業","13%"
201806,"10營建業","21%"
201806,"11投資業","1%"
201806,"12金融保險業","7%"
201806,"13其他","0%"
201807,"01民生必需品製造業","6%"
201807,"02金屬製造業","7%"
201807,"03非金屬製造業","12%"
201807,"04紙印刷業","1%"
201807,"05器械業","8%"
201807,"06批發業","12%"
201807,"07零售業","3%"
201807,"08電子製造業","11%"
201807,"09服務業","13%"
201807,"10營建業","21%"
201807,"11投資業","1%"
201807,"12金融保險業","7%"
201807,"13其他","0%"
201808,"01民生必需品製造業","6%"
201808,"02金屬製造業","7%"
201808,"03非金屬製造業","12%"
201808,"04紙印刷業","1%"
201808,"05器械業","8%"
201808,"06批發業","12%"
201808,"07零售業","3%"
201808,"08電子製造業","12%"
201808,"09服務業","13%"
201808,"10營建業","21%"
201808,"11投資業","1%"
201808,"12金融保險業","6%"
201808,"13其他","0%"
201809,"01民生必需品製造業","6%"
201809,"02金屬製造業","7%"
201809,"03非金屬製造業","12%"
201809,"04紙印刷業","1%"
201809,"05器械業","8%"
201809,"06批發業","12%"
201809,"07零售業","3%"
201809,"08電子製造業","12%"
201809,"09服務業","13%"
201809,"10營建業","21%"
201809,"11投資業","1%"
201809,"12金融保險業","6%"
201809,"13其他","0%"
201810,"01民生必需品製造業","6%"
201810,"02金屬製造業","7%"
201810,"03非金屬製造業","12%"
201810,"04紙印刷業","1%"
201810,"05器械業","8%"
201810,"06批發業","12%"
201810,"07零售業","3%"
201810,"08電子製造業","12%"
201810,"09服務業","13%"
201810,"10營建業","22%"
201810,"11投資業","1%"
201810,"12金融保險業","6%"
201810,"13其他","0%"
201811,"01民生必需品製造業","6%"
201811,"02金屬製造業","7%"
201811,"03非金屬製造業","12%"
201811,"04紙印刷業","1%"
201811,"05器械業","8%"
201811,"06批發業","12%"
201811,"07零售業","3%"
201811,"08電子製造業","12%"
201811,"09服務業","12%"
201811,"10營建業","21%"
201811,"11投資業","1%"
201811,"12金融保險業","6%"
201811,"13其他","0%"
201812,"01民生必需品製造業","6%"
201812,"02金屬製造業","7%"
201812,"03非金屬製造業","12%"
201812,"04紙印刷業","1%"
201812,"05器械業","8%"
201812,"06批發業","12%"
201812,"07零售業","3%"
201812,"08電子製造業","11%"
201812,"09服務業","13%"
201812,"10營建業","22%"
201812,"11投資業","1%"
201812,"12金融保險業","6%"
201812,"13其他","0%"
201901,"01民生必需品製造業","5%"
201901,"02金屬製造業","7%"
201901,"03非金屬製造業","12%"
201901,"04紙印刷業","1%"
201901,"05器械業","8%"
201901,"06批發業","12%"
201901,"07零售業","3%"
201901,"08電子製造業","12%"
201901,"09服務業","12%"
201901,"10營建業","22%"
201901,"11投資業","1%"
201901,"12金融保險業","6%"
201901,"13其他","0%"

